date,open,high,low,close,volume
24-05-2016,13.9483,14.0916,13.8815,14.0248,96183749
25-05-2016,14.1681,14.4738,14.1681,14.2541,123568712
26-05-2016,14.3114,14.3209,14.0343,14.0439,65356574
27-05-2016,14.1012,14.2158,14.0343,14.2158,62411281
31-05-2016,14.3591,14.3783,14.0725,14.13,85635898
01-06-2016,13.9958,14.2834,13.852,14.2451,62612116
02-06-2016,14.3313,14.3601,14.1588,14.3217,64327307
03-06-2016,13.8616,13.9,13.6028,13.8233,148600851
06-06-2016,13.8424,14.0917,13.7753,13.9191,80949339
07-06-2016,13.9383,13.9958,13.7466,13.7562,67447137
08-06-2016,13.7562,13.8616,13.7082,13.8329,58292864
09-06-2016,13.7274,13.7274,13.4973,13.6028,74814895
10-06-2016,13.4015,13.4206,13.181,13.2577,90725677
13-06-2016,13.0755,13.3297,13.018,13.0372,74851719
14-06-2016,12.9989,13.1582,12.625,12.7113,85377775
15-06-2016,12.8263,13.0947,12.7304,12.788,100659070
16-06-2016,12.6825,12.7784,12.4812,12.7592,90151952
17-06-2016,12.8263,12.9701,12.7304,12.8455,89022300
20-06-2016,13.1714,13.2769,12.9509,12.9797,89873995
21-06-2016,13.0516,13.0851,12.8886,13.0564,73810799
22-06-2016,13.0372,13.2097,13.0276,13.0468,77980475
23-06-2016,13.2673,13.4686,13.2481,13.459,82494585
24-06-2016,12.51,12.8838,12.4333,12.462,231499186
27-06-2016,12.2415,12.2415,11.5513,11.676,259697521
28-06-2016,12.0498,12.1936,11.8389,12.1744,150136310
29-06-2016,12.5291,12.6729,12.3853,12.6442,118484022
30-06-2016,12.8167,12.8263,12.5291,12.7209,125773865
01-07-2016,12.6442,12.7209,12.4812,12.5579,88888071
05-07-2016,12.3949,12.4045,12.1073,12.2128,98246526
06-07-2016,12.0019,12.3853,11.9348,12.3278,94983303
07-07-2016,12.3326,12.5675,12.3086,12.4716,101100345
08-07-2016,12.7304,12.7688,12.5675,12.625,92698914
11-07-2016,12.74,12.8455,12.6538,12.6633,67267266
12-07-2016,12.8551,13.0372,12.8455,12.9797,89070594
13-07-2016,12.9413,13.018,12.7688,12.8838,74595569
14-07-2016,13.1618,13.2097,13.0755,13.0851,97852124
15-07-2016,13.2097,13.2193,12.9605,13.0947,78652469
18-07-2016,13.2673,13.6411,13.2481,13.5261,187187124
19-07-2016,13.4782,13.7753,13.4494,13.6699,96940055
20-07-2016,13.7562,13.8329,13.6699,13.8041,79277868
21-07-2016,13.8329,13.8712,13.6699,13.6795,70985429
22-07-2016,13.6699,13.8041,13.5932,13.7849,46604794
25-07-2016,13.7178,13.7945,13.6891,13.7753,46420800
26-07-2016,13.7274,13.9479,13.7178,13.9287,60205579
27-07-2016,13.9671,14.0917,13.852,14.0246,100985998
28-07-2016,13.9671,14.0821,13.8616,14.0725,72049503
29-07-2016,13.9575,14.0917,13.8808,13.8904,63276523
01-08-2016,13.9191,13.9958,13.6699,13.737,61460852
02-08-2016,13.6891,13.852,13.5069,13.5453,83776290
03-08-2016,13.5261,13.8808,13.5117,13.8808,65305419
04-08-2016,13.8808,13.9383,13.7657,13.8808,46176646
05-08-2016,14.1396,14.4368,14.1396,14.4272,120947818
08-08-2016,14.456,14.5422,14.3026,14.5039,71960279
09-08-2016,14.4847,14.5614,14.4464,14.5614,49973298
10-08-2016,14.5326,14.5518,14.1684,14.1971,79080688
11-08-2016,14.2163,14.3505,14.1348,14.2642,68945407
12-08-2016,14.1588,14.293,14.0917,14.293,63031344
15-08-2016,14.3505,14.408,14.3265,14.3984,48592071
16-08-2016,14.3505,14.5614,14.3122,14.5422,80307508
17-08-2016,14.5326,14.6093,14.456,14.5231,93407349
18-08-2016,14.4847,14.6093,14.4368,14.5326,62804324
19-08-2016,14.5039,14.6189,14.4272,14.5902,59834808
22-08-2016,14.571,14.6189,14.4943,14.5518,60877097
23-08-2016,14.6285,14.7723,14.6285,14.7148,67817912
24-08-2016,14.734,14.8586,14.7244,14.7627,65484860
25-08-2016,14.7819,14.8969,14.7627,14.8873,67714420
26-08-2016,14.964,15.242,14.9353,15.1366,126886261
29-08-2016,15.1557,15.3475,15.1222,15.1845,120144925
30-08-2016,15.2133,15.5584,15.1462,15.5204,121280568
31-08-2016,15.6118,15.6407,15.294,15.5444,127664267
01-09-2016,15.5541,15.5541,15.1688,15.3903,128812599
02-09-2016,15.3518,15.4674,15.2362,15.4096,100997299
06-09-2016,15.4578,15.4674,15.1207,15.1977,96542163
07-09-2016,15.1399,15.2651,15.0725,15.1207,63310328
08-09-2016,15.1881,15.3518,15.1014,15.2748,69292664
09-09-2016,15.3229,15.5541,15.1592,15.1592,135182534
12-09-2016,15.0725,15.3518,14.9088,15.3133,109723978
13-09-2016,15.0918,15.2748,14.9762,15.1399,89317564
14-09-2016,15.0918,15.2555,14.9858,15.0532,75528119
15-09-2016,15.0629,15.164,15.0051,15.0918,67899709
16-09-2016,15.0821,15.1014,14.9088,14.9184,90926246
19-09-2016,14.9762,15.1977,14.9762,15.0147,66186415
20-09-2016,15.1592,15.1785,14.9377,15.0244,68210398
21-09-2016,15.1303,15.2459,14.8221,15.0725,95464559
22-09-2016,15.111,15.1303,14.928,15.0244,75611314
23-09-2016,14.9569,15.0918,14.928,14.9473,51604424
26-09-2016,14.8317,14.8703,14.4658,14.5332,94972090
27-09-2016,14.4561,14.7739,14.2635,14.7258,81992627
28-09-2016,14.7932,14.8221,14.591,14.8125,66076402
29-09-2016,14.8125,14.928,14.5043,14.6006,78997682
30-09-2016,14.6969,15.1496,14.6102,15.0725,119428684
03-10-2016,15.0147,15.1496,14.928,15.0532,69873051
04-10-2016,15.1207,15.4578,15.0918,15.217,98501476
05-10-2016,15.3711,15.6311,15.3711,15.5155,86056859
06-10-2016,15.5733,15.6311,15.4433,15.6215,75886664
07-10-2016,15.5926,15.6504,15.3903,15.5348,99605412
10-10-2016,15.6167,15.7948,15.5878,15.6985,64158491
11-10-2016,15.66,15.7274,15.4337,15.5155,77373955
12-10-2016,15.4963,15.6407,15.4192,15.4385,67165750
13-10-2016,15.4963,15.4963,15.0244,15.2459,78636990
14-10-2016,15.5541,15.6311,15.3518,15.4096,108865677
17-10-2016,15.5733,15.5974,15.3133,15.4578,101795541
18-10-2016,15.5926,15.6696,15.5155,15.66,71433078
19-10-2016,15.6985,15.92,15.6793,15.8623,97968987
20-10-2016,15.843,16.0163,15.8045,15.9489,88081209
